gender	SEX	contact	Female	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__female_bool" value="only" filter_list=""/>
men_status	MENOPAUSALSTATUS	diseasebreastcancerepisode	Pre-Menopausal	<Filter name="hsapiens_gene_breastCancer__resultsData__dm__menopausal_status" value="Premenopausal" filter_list=""/><Filter name="hsapiens_gene_breastCancer__resultsData__dm__menopausal_status" value="Premenopausal;Postmenopausal" filter_list=""/>	
men_status	MENOPAUSALSTATUS	diseasebreastcancerepisode	Post-Menopausal	<Filter name="hsapiens_gene_breastCancer__resultsData__dm__menopausal_status" value="Postmenopausal" filter_list=""/><Filter name="hsapiens_gene_breastCancer__resultsData__dm__menopausal_status" value="Premenopausal;Postmenopausal" filter_list=""/>	
er	ERSTATUS	diseasebreastcancerepisode	Positive	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__er_pos_bool" value="only" filter_list=""/>	
er	ERSTATUS	diseasebreastcancerepisode	Negative	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__er_neg_bool" value="only" filter_list=""/>	
pr	PRSTATUS	diseasebreastcancerepisode	Positive	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__pr_pos_bool"  value="only" filter_list=""/>	
pr	PRSTATUS	diseasebreastcancerepisode	Negative	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__pr_neg_bool"  vvalue="only" filter_list=""/>/	
her2	HER2	diseasebreastcancerepisode	Positive	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__her2_pos_bool" value="only" filter_list=""/>	
her2	HER2	diseasebreastcancerepisode	Negative	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__her2_neg_bool" value="only" filter_list=""/>				
grade	GRADE	diseasebreastcancerepisode	Grade 1	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__tumour_grade_1_bool" value="only" filter_list=""/>	
grade	GRADE	diseasebreastcancerepisode	Grade 2	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__tumour_grade_2_bool" value="only" filter_list=""/>	
grade	GRADE	diseasebreastcancerepisode	Grade 3	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__tumour_grade_3_bool" value="only" filter_list=""/>				
stype	SAMPLETYPE	sample	Frozen Tissue	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Frozen_tissue_bool" value="only" filter_list=""/>	
stype	SAMPLETYPE	sample	Paraffin Embedded	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Paraffin_embedded_tissue_bool" value="only" filter_list=""/>	
stype	SAMPLETYPE	sample	Whole Blood	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Blood_bool" value="only" filter_list=""/>	
stype	SAMPLETYPE	sample	Serum	<Filter name="hsapiens_gene_breastCancer__resultsData__dm__Serum_bool" value="only" filter_list=""/>				
ttype	TISSUETYPE	sample	Tumour	<Filter name = "hsapiens_gene_breastCancer__resultsData__dm__Malignant_lesion_bool" value="only" filter_list=""/>	
