gender	SEX	contact	Female	&gender%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__female_bool&gender%5B%5D=only&gender%5B%5D=Gender+Female
men_status	MENOPAUSALSTATUS	diseasebreastcancerepisode	Pre-Menopausal	&hsapiens_gene_breastCancer__resultsData__dm__menopausal_status=Premenopausal	
men_status	MENOPAUSALSTATUS	diseasebreastcancerepisode	Post-Menopausal	&hsapiens_gene_breastCancer__resultsData__dm__menopausal_status=Postmenopausal
er	ERSTATUS	diseasebreastcancerepisode	Positive	&er_status%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__er_pos_bool&er_status%5B%5D=only&er_status%5B%5D=ER+status+Positive
er	ERSTATUS	diseasebreastcancerepisode	Negative	&er_status%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__er_neg_bool&er_status%5B%5D=only&er_status%5B%5D=ER+status+Negative	
pr	PRSTATUS	diseasebreastcancerepisode	Positive	&pr_status%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__pr_pos_bool&pr_status%5B%5D=only&pr_status%5B%5D=PR+status+Positive
pr	PRSTATUS	diseasebreastcancerepisode	Negative	&pr_status%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__pr_neg_bool&pr_status%5B%5D=only&pr_status%5B%5D=PR+status+Negative	
her2	HER2	diseasebreastcancerepisode	Positive	&her2_status%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__her2_pos_bool&her2_status%5B%5D=only&her2_status%5B%5D=Her2+status+Positive	
her2	HER2	diseasebreastcancerepisode	Negative	&her2_status%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__her2_neg_bool&her2_status%5B%5D=only&her2_status%5B%5D=Her2+status+Negative		
grade	GRADE	diseasebreastcancerepisode	Grade 1	&tumour_grade%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__tumour_grade_1_bool&tumour_grade%5B%5D=only&tumour_grade%5B%5D=Tumour+grade+Grade+1	
grade	GRADE	diseasebreastcancerepisode	Grade 2	&tumour_grade%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__tumour_grade_2_bool&tumour_grade%5B%5D=only&tumour_grade%5B%5D=Tumour+grade+Grade+2	
grade	GRADE	diseasebreastcancerepisode	Grade 3	&tumour_grade%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__tumour_grade_3_bool&tumour_grade%5B%5D=only&tumour_grade%5B%5D=Tumour+grade+Grade+3			
stype	SAMPLETYPE	sample	Frozen Tissue	&sample_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Frozen_tissue_bool&sample_type%5B%5D=only&sample_type%5B%5D=Sample+type+Frozen+tissue	
stype	SAMPLETYPE	sample	Paraffin Embedded	&sample_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Paraffin_embedded_tissue_bool&sample_type%5B%5D=only&sample_type%5B%5D=Sample+type+Paraffin-embedded+tissue
stype	SAMPLETYPE	sample	Whole Blood	&sample_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Blood_bool&sample_type%5B%5D=only&sample_type%5B%5D=Sample+type+Blood	
stype	SAMPLETYPE	sample	Serum	&sample_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Serum_bool&sample_type%5B%5D=only&sample_type%5B%5D=Sample+type+Serum		
ttype	TISSUETYPE	sample	Tumour	&tissue_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Malignant_lesion_bool&tissue_type%5B%5D=only&tissue_type%5B%5D=Tissue+type+Malignant+lesion	
ttype	TISSUETYPE	sample	Normal Adjacent/Adjacent	&tissue_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Normal_adjacent_bool&tissue_type%5B%5D=only&tissue_type%5B%5D=Tissue+type+Normal+adjacent	
ttype	TISSUETYPE	sample	Normal Surround/Normal Surround (>2cm)	&tissue_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Surrounding_normal_bool&tissue_type%5B%5D=only&tissue_type%5B%5D=Tissue+type+Surrounding+normal	
ttype	TISSUETYPE	sample	Tumour with Surrounding Normal	null	
ttype	TISSUETYPE	sample	Risk Reduction/Normal RR	&tissue_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Risk_reduction_bool&tissue_type%5B%5D=only&tissue_type%5B%5D=Tissue+type+Risk+reduction	
ttype	TISSUETYPE	sample	Reduction Mammoplasty	&specimen_extraction_method%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Reduction_mammoplasty_bool&specimen_extraction_method%5B%5D=only&specimen_extraction_method%5B%5D=Specimen+extraction+method+Reduction+mammoplasty
ttype	TISSUETYPE	sample	Normal Contralateral RR/Normal Contralateral Reduction/	null	
ttype	TISSUETYPE	sample	Benign	&tissue_type%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__Benign_lesion_bool&tissue_type%5B%5D=only&tissue_type%5B%5D=Tissue+type+Benign+lesion	
ttype	TISSUETYPE	sample	DCIS	&malignant_lesions1%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_1_bool&malignant_lesions1%5B%5D=only&malignant_lesions1%5B%5D=Malignant+lesions+Ductal+carcinoma+in+situ	
ttype	TISSUETYPE	sample	LCIS	&malignant_lesions1%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_2_bool&malignant_lesions1%5B%5D=only&malignant_lesions1%5B%5D=Malignant+lesions+Lobular+carcinoma+in+situ		
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	No specific type/Infiltrating ductal carcinoma	&malignant_lesions1%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_4_bool&malignant_lesions1%5B%5D=only&malignant_lesions1%5B%5D=Malignant+lesions+No+specific+type%2FInfiltrating+ductal+carcinoma
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Apocrine carcinoma	&malignant_lesions1%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_14_bool&malignant_lesions1%5B%5D=only&malignant_lesions1%5B%5D=Malignant+lesions+Apocrine+carcinoma	
ctype	TYPEOFTUMOR	diseasebreastcancerepisode	Infiltrating lobular carcinoma	&malignant_lesions1%5B%5D=hsapiens_gene_breastCancer__resultsData__dm__malignant_lesions_5_bool&malignant_lesions1%5B%5D=only&malignant_lesions1%5B%5D=Malignant+lesions+Infiltrating+lobular+carcinoma	
