FILE_NAME	SAMPLE_NAME	CANCERTYPE	MOLECULAR_SUBTYPE	TYPE	DERIVED_FROM	GENDER	ETHNICGROUP	AGE	ER	PR	HER2	NOTES	CCLE_FILE_NAME
AU565	GSM886871.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	43	0	0	1	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B02_383772.CEL
BT-20	GSM886891.CEL	Carcinoma	Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	74	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C02_383640.CEL
BT-474	GSM886892.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	60	1	1	1	Clinical information obtained from CCLE, DSMZ and ATCC.	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E07_296098.CEL
BT-483	GSM886893.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	23	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A08_474686.CEL
BT-549	GSM886894.CEL	Ductal Carcinoma	Ductal Carcinoma	Primary Tumour	Primary Tumour	Female	Caucasian	72	0	0	0	Clinical information obtained from CCLE, DSMZ and ATCC.	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A09_257614.CEL
CAL-120	GSM886904.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	NS	43	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H01_474610.CEL
CAL-148	GSM886906.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	NS	58	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D02_523558.CEL
CAL-51	GSM886909.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	NS	45	0	NS	0	Clinical information obtained from CCLE, DSMZ and ATCC.	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_F02_474714.CEL
CAL-85-1	GSM886913.CEL	Adenocarcinoma	Adenocarcinoma	NS	NS	Female	NS	35	0	NS	0	Clinical information obtained from CCLE, DSMZ and ATCC.	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A11_257618.CEL
CAMA-1	GSM886917.CEL	Adenocarcinoma	Adenocarcinoma	Metastatic	Pleural Effusion	Female	Caucasian	51	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F09_419786.CEL
DU4475	GSM886989.CEL	Carcinoma	Carcinoma	Metastatic	Skin Carcinoma	Female	Caucasian	70	NS	NS	NS	Clinical information obtained from CCLE, DSMZ and ATCC.	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F10_436454.CEL
EFM-19	GSM886999.CEL	Ductal Carcinoma	Ductal Carcinoma	Metastatic	Pleural Effusion	Female	Caucasian	50	1	1	0	Clinical information obtained from CCLE, DSMZ and ATCC.	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A05_295998.CEL
